Match!
4.35,msec,task-clock,4353012,100.00,0.562,CPUs utilized
18,,context-switches,4353012,100.00,0.004,M/sec
1,,cpu-migrations,4353012,100.00,0.230,K/sec
97,,page-faults,4353012,100.00,0.022,M/sec
14430765,,cycles,3673528,83.84,3.315,GHz
1956886,,stalled-cycles-frontend,3381979,77.18,13.56,frontend cycles idle
4162333,,stalled-cycles-backend,3269699,74.62,28.84,backend cycles idle
14212152,,instructions,4154360,94.81,0.98,insn per cycle
,,,,,0.29,stalled cycles per insn
2714114,,branches,4381659,100.00,623.503,M/sec
39001,,branch-misses,3047070,69.54,1.44,of all branches
