Match!
2.08,msec,task-clock,2078201,100.00,0.615,CPUs utilized
3,,context-switches,2078201,100.00,0.001,M/sec
0,,cpu-migrations,2078201,100.00,0.000,K/sec
77,,page-faults,2078201,100.00,0.037,M/sec
6945695,,cycles,1084929,52.08,3.342,GHz
866930,,stalled-cycles-frontend,1654531,79.42,12.48,frontend cycles idle
1808026,,stalled-cycles-backend,2083159,100.00,26.03,backend cycles idle
8997907,,instructions,2083159,100.00,1.30,insn per cycle
,,,,,0.20,stalled cycles per insn
1693577,,branches,2083159,100.00,814.925,M/sec
26514,,branch-misses,1426858,68.49,1.57,of all branches
